emote,description,names
🙅,"dark skin tone, hand, forbidden, gesture, woman, prohibited, no",woman gesturing NO: dark skin tone
💂,"dark skin tone, woman, guard",woman guard: dark skin tone
🏃,"racing, running, woman, marathon",woman running
🤸,"gymnastics, medium-light skin tone, woman, cartwheel",woman cartwheeling: medium-light skin tone
🏌,"woman, golf",woman golfing
0,keycap,keycap: 0
🏃,"racing, running, medium-dark skin tone, woman, marathon",woman running: medium-dark skin tone
👨,"farmer, gardener, medium-dark skin tone, rancher, man",man farmer: medium-dark skin tone
👏,"dark skin tone, clap, hand",clapping hands: dark skin tone
👏,"clap, hand, medium-dark skin tone",clapping hands: medium-dark skin tone
👏,"clap, hand, medium skin tone",clapping hands: medium skin tone
👏,"clap, hand, medium-light skin tone",clapping hands: medium-light skin tone
👏,"clap, light skin tone, hand",clapping hands: light skin tone
🚶,"walk, light skin tone, woman, hike",woman walking: light skin tone
👨,"firetruck, medium-light skin tone, firefighter, man",man firefighter: medium-light skin tone
🦑,"squid, molusc, food",squid
🦐,"small, shrimp, shellfish, food",shrimp
🦏,rhinoceros,rhinoceros
🦎,"lizard, reptile",lizard
🦍,gorilla,gorilla
🦌,deer,deer
🦋,"pretty, insect, butterfly",butterfly
🦊,"fox, face",fox face
👨,"rocket, medium-light skin tone, astronaut, man",man astronaut: medium-light skin tone
🦉,"wise, owl, bird",owl
🦈,"shark, fish",shark
🦇,"bat, vampire",bat
🦆,"duck, bird",duck
🦅,"eagle, bird",eagle
🦄,"face, unicorn",unicorn face
👩,"family, boy, woman","family: woman, boy, boy"
🦃,turkey,turkey
🦂,"scorpio, zodiac, scorpius",scorpion
💇,"medium-dark skin tone, man, haircut",man getting haircut: medium-dark skin tone
🦁,"lion, face, zodiac, leo",lion face
👨,"mathematician, engineer, physicist, chemist, biologist, scientist, man",man scientist
🦀,"cancer, zodiac",crab
👨,"justice, scales, medium skin tone, man",man judge: medium skin tone
👨,"electrician, tradesperson, plumber, mechanic, man",man mechanic
👩,"family, woman, girl","family: woman, girl"
👩,"family, boy, woman","family: woman, boy"
👩,"mathematician, engineer, medium-dark skin tone, woman, physicist, chemist, biologist, scientist",woman scientist: medium-dark skin tone
👩,"electrician, tradesperson, plumber, medium-dark skin tone, woman, mechanic",woman mechanic: medium-dark skin tone
🙋,"medium-light skin tone, gesture, woman, raising hand",woman raising hand: medium-light skin tone
🥞,"pancake, hotcake, food, crêpe",pancakes
🥝,"fruit, kiwi, food",kiwi fruit
🥜,"vegetable, peanut, nut, food",peanuts
🥛,"drink, glass, milk",glass of milk
🚵,"bicycle, cyclist, bike, mountain, man",man mountain biking
🥚,"egg, food",egg
🥙,"stuffed, falafel, gyro, flatbread, kebab, food",stuffed flatbread
🥘,"shallow, pan, paella, food, casserole",shallow pan of food
🥗,"salad, green, food",green salad
🥖,"french, bread, baguette, food",baguette bread
🥕,"carrot, vegetable, food",carrot
🥔,"vegetable, potato, food",potato
🥓,"bacon, meat, food",bacon
🥒,"vegetable, cucumber, pickle, food",cucumber
🥑,"fruit, avocado, food",avocado
💆,"medium-light skin tone, woman, face, massage",woman getting massage: medium-light skin tone
🥐,"french, bread, crescent roll, croissant, food",croissant
🥋,"uniform, martial arts, taekwondo, judo, karate",martial arts uniform
🥊,"boxing, glove",boxing glove
👩,"dark skin tone, plane, woman, pilot",woman pilot: dark skin tone
🙎,"pouting, gesture, medium skin tone, man",man pouting: medium skin tone
🥉,"bronze, third, medal",3rd place medal
🥈,"second, medal, silver",2nd place medal
🥇,"gold, medal, first",1st place medal
🥅,"goal, net",goal net
🥄,"tableware, spoon",spoon
🥃,"whisky, liquor, shot, tumbler, glass",tumbler glass
🥂,"celebrate, drink, clink, glass",clinking glasses
🥁,"drum, drumsticks, music",drum
🥀,"wilted, flower",wilted flower
⛹,"dark skin tone, ball",person bouncing ball: dark skin tone
⛹,"medium-dark skin tone, ball",person bouncing ball: medium-dark skin tone
⛹,"ball, medium skin tone",person bouncing ball: medium skin tone
🤾,"ball, handball",person playing handball
⛹,"medium-light skin tone, ball",person bouncing ball: medium-light skin tone
🤽,"water, polo",person playing water polo
⛹,"light skin tone, ball",person bouncing ball: light skin tone
🤼,"wrestler, wrestle",people wrestling
🤺,"sword, fencing, fencer",person fencing
🕵,"dark skin tone, sleuth, spy, woman, detective",woman detective: dark skin tone
🤹,"skill, multitask, juggle, balance",person juggling
🤸,"gymnastics, cartwheel",person cartwheeling
👯,"bunny ear, partying, men, dancer",men with bunny ears partying
🤷,"indifference, shrug, ignorance, doubt",person shrugging
🤶,"claus, mother, mrs., celebration, christmas",Mrs. Claus
🤵,"tuxedo, man, groom",man in tuxedo
🤴,prince,prince
🤳,"selfie, phone, camera",selfie
🏌,"medium-light skin tone, golf, man",man golfing: medium-light skin tone
🤰,"woman, pregnant",pregnant woman
👳,"turban, woman",woman wearing turban
🙅,"dark skin tone, hand, forbidden, gesture, prohibited, no, man",man gesturing NO: dark skin tone
💂,"dark skin tone, guard, man",man guard: dark skin tone
🤧,"sneeze, gesundheit, face",sneezing face
🤦,"exasperation, disbelief, face, palm",person facepalming
🤥,"lie, face, pinocchio",lying face
🤤,"drooling, face",drooling face
🤣,"laugh, rolling, floor, face",rolling on the floor laughing
🤢,"nauseated, face, vomit",nauseated face
🏃,"racing, running, marathon, man",man running
🤡,"face, clown",clown face
🤠,"cowgirl, hat, face, cowboy",cowboy hat face
🤸,"gymnastics, medium-light skin tone, cartwheel, man",man cartwheeling: medium-light skin tone
🤞,"luck, hand, finger, cross",crossed fingers
🏌,"golf, man",man golfing
🤝,"hand, shake, agreement, meeting, handshake",handshake
🤜,"fist, rightwards",right-facing fist
🤛,"leftwards, fist",left-facing fist
🤚,"backhand, raised",raised back of hand
👨,"industrial, factory, assembly, worker, medium skin tone, man",man factory worker: medium skin tone
💆,"face, massage, man",man getting massage
👨,"instructor, professor, teacher, medium skin tone, man",man teacher: medium skin tone
🏃,"racing, running, medium-dark skin tone, marathon, man",man running: medium-dark skin tone
🤙,"hand, call",call me hand
🤘,"hand, horns, finger, rock-on",sign of the horns
🤗,"hug, face, hugging",hugging face
🤖,"monster, face, robot",robot face
🤕,"hurt, bandage, face, injury",face with head-bandage
🤔,"thinking, face",thinking face
🤓,"face, geek, nerd",nerd face
🤒,"thermometer, ill, sick, face",face with thermometer
🤑,"mouth, money, face",money-mouth face
🤐,"zipper, mouth, face",zipper-mouth face
